COLL_DATE,MODEL,YIL,KM,RENK,FIYAT,ILAN_TARIHI,IL_ILCE,ID,YAKIT,VITES,MARKA
7/17/2020,A3 Sedan 1.6 TDI,2013,191000,Beyaz,171000,"14 Temmuz

2020",Gaziantep,841247683,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,74000,Siyah,238950,"14 Temmuz

2020",Ýstanbul,841245781,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,63800,Siyah,254900,"14 Temmuz

2020",Ýstanbul,841244422,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,153348,Beyaz,179900,"16 Temmuz

2020",Sakarya,841807325,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,116000,Beyaz,225000,"16 Temmuz

2020",Ýstanbul,795708492,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,162500,Beyaz,182000,"14 Temmuz

2020",Ýstanbul,841232104,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,121000,Beyaz,215000,"16 Temmuz

2020",Ýstanbul,841788310,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,59000,Beyaz,235000,"14 Temmuz

2020",Çorum,841210954,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,110000,Siyah,200000,"14 Temmuz

2020",Ýstanbul,841229951,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,69500,Beyaz,236499,"16 Temmuz

2020",Gaziantep,837879118,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,142000,Beyaz,223000,"14 Temmuz

2020",Ankara,821844990,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,88000,Beyaz,186000,"16 Temmuz

2020",Aydýn,841241306,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,49000,Beyaz,284750,"14 Temmuz

2020",Ýzmir,841218243,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,141000,Beyaz,188000,"16 Temmuz

2020",Antalya,841748145,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,107800,Beyaz,199000,"14 Temmuz

2020",Afyonkarahisar,841211802,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,179000,Beyaz,157000,"14 Temmuz

2020",Diyarbakýr,841209252,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,143000,Beyaz,212500,"16 Temmuz

2020",Mersin,841783008,dizel,otomatik,audi-a3-a3-sedan
